INDEX,Street Name,Limit 1,Limit 2,Full Location Names 2023,Facility Type,Ped_Total,Ped_Female_Total,Ped_Male_Total,Ped_MobAssist_Total,Ped_Stroller_Total,Ped_Weekday_Total,Ped_Weekday_Female,Ped_Weekday_Male,Ped_Weekday_MobAssist,Ped_Weekday_Stroller,Ped_Weekend,Ped_Weekend_Female,Ped_Weekend_Male,Ped_Weekend_MobAssist,Ped_Weekend_Stroller,Bike_Total,Bike_Female_Total,Bike_Male_Total,Bike_Sidewalk_Total,Bike_ContraFlow_Total,Bike_Helmet_Total,Bike_Weekday_Total,Bike_Weekday_Female,Bike_Weekday_Male,Bike_Weekday_Sidewalk,Bike_Weekday_ContraFlow,Bike_Weekday_Helmet,Bike_Weekend_Total,Bike_Weekend_Female,Bike_Weekend_Male,Bike_Weekend_Sidewalk,Bike_Weekend_ContraFlow,Bike_Weekend_Helmet,Scooter_Total,Scooter_Female_Total,Scooter_Male_Total,Scooter_Sidewalk_Total,Scooter_ContraFlow_Total,Scooter_Helmet_Total,Scooter_Weekday_Total,Scooter_Weekday_Female,Scooter_Weekday_Male,Scooter_Weekday_Sidewalk,Scooter_Weekday_ContraFlow,Scooter_Weekday_Helmet,Scooter_Weekend_Total,Scooter_Weekend_Female,Scooter_Weekend_Male,Scooter_Weekend_Sidewalk,Scooter_Weekend_ContraFlow,Scooter_Weekend_Helmet,Other_Total,Other_Female_Total,Other_Male_Total,Other_Sidewalk_Total,Other_ContraFlow_Total,Other_Helmet_Total,Other_Weekday_Total,Other_Weekday_Female,Other_Weekday_Male,Other_Weekday_Sidewalk,Other_Weekday_ContraFlow,Other_Weekday_Helmet,Other_Weekend_Total,Other_Weekend_Female,Other_Weekend_Male,Other_Weekend_Sidewalk,Other_Weekend_ContraFlow,Other_Weekend_Helmet,Latitude,Longitude
23-37,Main St (Venice),Thornton Pl,Park Pl,Main St (Venice) bw Thornton Pl & Park Pl,Lane,660,275,385,0,11,496,202,294,0,10,164,73,91,0,1,532,103,429,14,3,289,344,76,268,13,2,155,188,27,161,1,1,134,46,8,38,5,1,2,35,7,28,4,1,2,11,1,10,1,0,0,20,1,19,8,2,2,18,1,17,6,2,0,2,0,2,0,1,0,33.993269,-118.475097
23-35,Main St,6th St,7th St,Main St bw 6th St & 7th St,Protected Lane,1257,345,912,16,7,883,206,677,15,3,374,139,235,1,4,226,6,220,62,37,34,161,2,159,40,34,22,65,4,61,22,3,12,77,4,73,18,10,2,63,2,61,12,9,2,14,2,12,6,1,0,28,1,27,11,0,11,17,0,17,11,0,0,11,1,10,6,0,0,34.044982,-118.250157
23-36,Main St,Arcadia St,Aliso St,Main St bw Arcadia St & Aliso St,Protected Lane,914,335,579,4,0,781,281,500,3,0,133,54,79,1,0,158,7,151,46,6,37,125,6,119,39,5,21,33,1,32,7,1,16,75,8,67,27,0,3,57,4,53,20,0,3,18,4,14,7,0,0,10,0,10,6,0,0,10,0,10,6,0,0,0,0,0,0,0,0,,
23-38,Manchester Ave,Broadway,Main St,Manchester Ave bw Broadway & Main St,None,307,108,199,0,3,243,90,153,0,3,64,18,46,0,0,87,5,82,82,1,5,60,3,57,59,0,4,27,2,25,23,1,1,6,2,4,6,0,1,3,1,2,3,0,1,3,1,2,3,0,0,11,0,11,8,0,3,8,0,8,8,0,0,3,0,3,3,0,0,33.960035,-118.27759
23-39,Nordhoff St,Valjean Ave,Woodley Ave,Nordhoff St bw Valjean Ave & Woodley Ave,None,92,27,65,1,0,80,23,57,1,0,12,4,8,0,0,25,0,25,23,0,7,22,0,22,20,0,7,3,0,3,3,0,0,3,0,3,1,0,1,2,0,2,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,34.235642,-118.486631
23-40,Ohio Ave,Sepulveda Blvd,Pontius Ave,Ohio Ave bw Sepulveda Blvd & Pontius Ave,Lane,295,129,166,0,4,234,104,130,0,4,61,25,36,0,0,306,63,243,19,1,58,233,49,184,18,1,0,73,14,59,1,0,58,43,11,32,2,0,13,37,10,27,2,0,12,6,1,5,0,0,1,7,0,7,4,2,3,5,0,5,3,1,1,2,0,2,2,0,1,34.050227,-118.447071
23-42,Pacific Ave,6th St,7th St,Pacific Ave bw 6th St & 7th St,Lane,421,199,222,9,17,282,134,148,7,11,139,65,74,2,6,67,9,58,23,4,14,49,8,41,17,3,12,18,1,17,6,1,2,23,4,19,4,3,2,21,4,17,3,3,2,2,0,2,1,0,0,12,2,10,11,1,1,11,2,9,10,1,0,1,0,1,1,0,0,34.008886,-118.483112
23-43,Pico Blvd,Western Ave,Manhattan Pl,Pico Blvd bw Western Ave & Manhattan Pl,None,670,284,386,17,20,509,212,297,9,13,161,72,89,8,7,88,7,81,80,2,11,71,4,67,66,1,7,17,3,14,14,1,4,26,1,25,24,0,2,23,1,22,21,0,2,3,0,3,3,0,0,11,0,11,6,1,4,8,0,8,6,0,1,3,0,3,1,0,0,34.047244,-118.309618
23-44,Red Car Bridge,-,-,Red Car Bridge bw - & -,Path,66,20,46,0,0,60,17,43,0,0,6,3,3,0,0,98,13,85,0,0,55,81,11,70,0,0,55,17,2,15,0,0,0,4,2,2,0,0,1,2,2,0,0,0,0,2,0,2,0,0,1,18,0,18,0,0,0,18,0,18,0,0,0,0,0,0,0,0,0,34.113544,-118.264756
23-45,Reseda Blvd,Wyandotte St,Sherman Way,Reseda Blvd bw Wyandotte St & Sherman Way,Route,260,46,214,2,3,197,25,172,0,2,63,21,42,2,1,65,1,64,47,0,11,49,0,49,33,0,9,16,1,15,14,0,2,17,0,17,12,0,2,14,0,14,9,0,2,3,0,3,3,0,0,7,0,7,7,0,0,7,0,7,7,0,0,0,0,0,0,0,0,34.201889,-118.53596
